phiS,phiM,rho,lambda,ll,round,type,iter
56.075517206921155,30.681627683227692,0.0102281673560298,1.3693881312982426,-571.9520622271938,4,tried,109
56.075517206921155,30.681627683227692,0.03444706444701735,1.3693881312982426,-573.6548508707315,4,tried,73
56.075517206921155,30.681627683227692,0.01988852863305654,1.3693881312982426,-573.9205239944804,4,tried,39
56.075517206921155,30.681627683227692,0.01016911108713766,1.3693881312982426,-574.5887776168178,4,tried,37
60.512294510970285,25.865740940507152,0.01029992703071328,1.384135790226507,-576.2553214212742,32,tried,122
56.59213856900189,30.08062455953186,0.0193585079818221,1.3675457637228023,-577.1233385322548,31,tried,103
56.075517206921155,30.681627683227692,0.03959746219104017,1.3693881312982426,-577.8196474044238,4,tried,112
60.512294510970285,25.865740940507152,0.0102087444499767,1.384135790226507,-577.8259137812211,32,tried,99
56.59213856900189,30.08062455953186,0.0225313952375919,1.3675457637228023,-578.0427530984297,31,tried,88
60.89092110522985,26.33452635888712,0.02963703138338122,1.3893974822737925,-578.5215131837602,1,tried,109
60.89092110522985,34.36875917808077,0.02963703138338122,1.3893974822737925,-578.6207677840088,1,tried,128
56.075517206921155,30.681627683227692,0.01030626425311275,1.3693881312982426,-578.6232856377708,4,tried,71
56.59213856900189,30.08062455953186,0.03631476164413428,1.3675457637228023,-579.2136709389862,31,tried,104
53.64990513491859,25.05916944916113,0.02030345322615983,1.363075327572272,-579.408843070617,11,tried,122
60.512294510970285,34.93118244405388,0.0102087444499767,1.384135790226507,-579.4180481920515,32,tried,79
56.075517206921155,30.681627683227692,0.01606032518740647,1.3693881312982426,-580.2609681545108,4,tried,110
56.22292945972215,30.65190652953976,0.01031016677235153,1.3892236935043132,-580.2949363087407,27,tried,52
56.075517206921155,30.681627683227692,0.01422141543691309,1.3693881312982426,-580.5007377158008,4,tried,38
60.512294510970285,37.05331982541312,0.0102087444499767,1.384135790226507,-580.9071835332959,32,tried,100
56.22292945972215,30.65190652953976,0.02194771109793109,1.3892236935043132,-580.9556062242154,27,tried,50
60.89092110522985,26.33452635888712,0.01017970036876513,1.3893974822737925,-581.177556059027,1,tried,106
56.075517206921155,30.681627683227692,0.01884198898563966,1.3693881312982426,-581.3750237543755,4,tried,72
60.89092110522985,26.33452635888712,0.02963703138338122,1.3863360067221393,-581.4000688705078,1,tried,131
60.512294510970285,25.865740940507152,0.01860017830953479,1.384135790226507,-581.4184815722572,32,tried,123
56.59213856900189,29.860851754948285,0.0193585079818221,1.3675457637228023,-581.5525611237484,31,tried,126
56.075517206921155,36.117834123519096,0.01988852863305654,1.3693881312982426,-581.7085318781411,4,tried,60
56.075517206921155,30.681627683227692,0.06297637950650162,1.3693881312982426,-581.7177119247126,4,tried,74
56.22292945972215,30.65190652953976,0.01020466734618522,1.3892236935043132,-581.7646064332864,27,tried,97
60.89092110522985,26.33452635888712,0.01453566471215474,1.3893974822737925,-582.0318850846833,1,tried,107
56.075517206921155,31.67674435975672,0.03444706444701735,1.3693881312982426,-582.2083794919544,4,tried,99
