P0,pathogen,alive,virus,tree,capsid,strain,isolate
260.204572835163,20,9,2,DO,SNPV,A12,7
42.3750719316846,5,7,0,DO,SNPV,A12,7
287.69651470057266,20,8,0,GR,SNPV,A12,7
48.66284241609066,5,5,0,GR,SNPV,A12,7
208.72251385395685,20,8,0,DO,SNPV,A12,7
34.328139943468415,5,6,0,DO,SNPV,A12,7
172.765430328453,20,5,0,GR,SNPV,A12,7
74.59980932288738,5,8,0,GR,SNPV,A12,7
183.5689287559809,20,4,0,DO,MNPV,BAN,6
60.26522726519411,6,7,0,DO,MNPV,BAN,6
163.29743239282178,20,10,1,GR,MNPV,BAN,6
40.05415321514688,5,9,0,GR,MNPV,BAN,6
254.3894906613618,20,9,3,DO,MNPV,BAN,6
66.62331709501018,5,8,0,DO,MNPV,BAN,6
181.80958718315134,20,7,1,GR,MNPV,BAN,6
31.821980205455436,5,6,0,GR,MNPV,BAN,6
89.32670886460394,5,0,0,DO,MNPV,BAN,6
38.122715496273884,5,9,0,GR,MNPV,BAN,6
154.27944172441218,20,9,1,DO,SNPV,COL,8
47.822818370848744,5,9,1,DO,SNPV,COL,8
333.04469459801504,20,9,0,GR,SNPV,COL,8
40.472131699554325,5,6,0,GR,SNPV,COL,8
259.0744048737077,20,8,0,DO,SNPV,COL,8
45.48080028016173,4,5,0,DO,SNPV,COL,8
147.76669117130962,20,7,0,GR,SNPV,COL,8
52.75246538646984,5,9,0,GR,SNPV,COL,8
234.42481527324557,20,7,0,GR,SNPV,COL,8
152.1105722171561,20,4,0,DO,SNPV,COL,8
74.19498441905327,5,4,0,DO,SNPV,COL,8
54.689935411186276,5,10,0,GR,SNPV,COL,8
193.6295866008326,20,9,0,DO,SNPV,CUB,11
72.7052760764743,5,8,1,DO,SNPV,CUB,11
157.75520651339698,20,6,0,GR,SNPV,CUB,11
198.19641264493112,20,9,0,DO,SNPV,CUB,11
97.01014726140355,5,4,0,DO,SNPV,CUB,11
233.3798537175077,20,4,0,GR,SNPV,CUB,11
57.920715807374236,5,8,0,GR,SNPV,CUB,11
286.0886531518387,20,7,4,DO,MNPV,DRY,1
62.43997956963868,5,7,0,DO,MNPV,DRY,1
231.32619306484074,20,5,0,GR,MNPV,DRY,1
40.00704123925811,5,10,2,GR,MNPV,DRY,1
133.42726612868793,20,4,0,DO,MNPV,DRY,1
44.18463876848575,5,5,0,DO,MNPV,DRY,1
192.65669732476908,20,5,1,GR,MNPV,DRY,1
56.14047694703595,5,9,0,GR,MNPV,DRY,1
56.162800232289335,5,7,0,DO,MNPV,DRY,1
160.80208077892527,20,7,0,GR,MNPV,DRY,1
207.2330553301896,20,5,0,DO,MNPV,H07,2
80.39580462533144,5,6,0,DO,MNPV,H07,2
268.08932736387766,20,5,0,GR,MNPV,H07,2
53.12745382427351,5,6,0,GR,MNPV,H07,2
250.44328461376637,20,5,0,DO,MNPV,H07,2
60.915140336300304,5,6,0,DO,MNPV,H07,2
139.98651929819158,20,7,0,GR,MNPV,H07,2
72.36214649282384,5,7,0,GR,MNPV,H07,2
68.72965602181753,5,8,0,DO,MNPV,H07,2
46.15590541731862,5,11,0,GR,MNPV,H07,2
43.738906719783195,5,7,0,DO,MNPV,H07,2
260.2722968769927,20,7,1,DO,MNPV,KLP,3
42.59009081910966,5,9,1,DO,MNPV,KLP,3
257.43902234956875,20,8,0,GR,MNPV,KLP,3
70.72495912097362,5,8,0,GR,MNPV,KLP,3
248.18576207920106,20,6,0,DO,MNPV,KLP,3
54.02420932868437,5,8,0,DO,MNPV,KLP,3
217.09209480845965,20,8,0,GR,MNPV,KLP,3
55.78657395681896,5,9,0,GR,MNPV,KLP,3
37.831956502329696,5,4,0,DO,MNPV,KLP,3
176.96139587149065,20,9,1,GR,MNPV,KLP,3
257.68347707776627,20,8,1,DO,SNPV,LOV,9
34.25952825999967,5,8,0,DO,SNPV,LOV,9
171.79532991575158,20,4,0,GR,SNPV,LOV,9
53.847280496945785,5,5,0,GR,SNPV,LOV,9
229.32518770266614,20,8,0,DO,SNPV,LOV,9
62.285193937408366,5,7,2,DO,SNPV,LOV,9
315.26845108609984,20,9,3,GR,SNPV,LOV,9
75.92910651183203,5,7,0,GR,SNPV,LOV,9
256.2440263111366,20,7,1,DO,SNPV,LOV,9
277.3952035595352,20,6,0,DO,SNPV,LST,12
64.91761305726902,5,5,0,DO,SNPV,LST,12
244.99835851099797,20,6,0,GR,SNPV,LST,12
59.148428248816145,5,9,0,GR,SNPV,LST,12
337.77621650104373,20,7,3,DO,SNPV,LST,12
73.50346936375396,5,8,3,DO,SNPV,LST,12
144.41986899673682,20,9,0,GR,SNPV,LST,12
80.53384273673326,5,9,1,GR,SNPV,LST,12
260.3895427559629,20,8,0,DO,SNPV,MEW,10
61.53952191176217,5,2,0,DO,SNPV,MEW,10
227.75800711743773,20,7,0,GR,SNPV,MEW,10
93.20602632883832,5,10,0,GR,SNPV,MEW,10
225.79530752191909,20,5,0,DO,SNPV,MEW,10
44.860067989919045,5,8,0,DO,SNPV,MEW,10
246.24628322016264,20,7,0,GR,SNPV,MEW,10
38.23243792963702,5,5,0,GR,SNPV,MEW,10
51.588886103089045,5,9,0,DO,SNPV,MEW,10
138.75899505185424,20,9,0,GR,SNPV,MEW,10
242.64247359443283,20,6,1,DO,MNPV,TAM,4
117.15830195443479,5,4,3,DO,MNPV,TAM,4
260.1253804333689,20,8,1,GR,MNPV,TAM,4
62.10408644888834,5,9,0,GR,MNPV,TAM,4
248.8156375651897,20,10,0,DO,MNPV,TAM,4
90.24130525023914,5,8,3,DO,MNPV,TAM,4
266.23926390168316,20,5,1,GR,MNPV,TAM,4
47.28834446343334,5,7,0,GR,MNPV,TAM,4
32.95029711282906,5,8,0,GR,MNPV,TAM,4
172.3212447108148,20,7,0,DO,MNPV,TMB,5
31.80809286945259,5,5,0,DO,MNPV,TMB,5
191.92145038878488,20,9,4,GR,MNPV,TMB,5
60.209045807042045,5,9,1,GR,MNPV,TMB,5
156.22314914624047,15,8,2,DO,MNPV,TMB,5
29.351464711467766,4,6,0,DO,MNPV,TMB,5
104.00134785746823,20,8,0,GR,MNPV,TMB,5
62.7998693762717,5,9,0,GR,MNPV,TMB,5
139.85005130288724,19,10,4,DO,MNPV,TMB,5
42.11313609786419,5,9,0,GR,MNPV,TMB,5
